Sales of Wheat in tons,pca_1,pca_2,cluster
Afghanistan,744.8100294320315,-235.6445552399869,1
Albania,-595.8703979765748,6.099952638784867,0
Algeria,-551.3086255286775,45.94629518509077,0
American Samoa,-700.7052321220855,8.860271840878152,0
Andorra,-645.4285530744711,1.531832703477999,0
Angola,998.9078127237171,-340.2110571120791,3
Anguilla,-601.3981928134958,25.47161756231512,0
Antigua and Barbuda,-706.5687820713755,19.82381624880874,0
Argentina,-493.35049057277973,-53.40146177668954,7
Armenia,-433.7897367409579,85.27256156974425,7
Australia,-725.107371869737,28.830252012045342,0
Austria,-698.7771669645527,20.246817657971512,0
Azerbaijan,-388.46719798965074,88.39269645219395,7
Bahamas,-535.797435095883,22.477167417300503,7
Bahrain,-429.369874043903,-72.02664416053709,7
Bangladesh,1432.4332955789544,-296.37697857261327,8
Barbados,-730.0828192920486,24.645746591478705,0
Belarus,-411.5655587954613,44.270695633857564,7
Belgium,-698.4812304132894,23.007224626032457,0
Belize,-549.1855149626098,-5.382772407705467,0
Benin,-190.58573868918745,29.21036263677261,2
Bermuda,-721.1340462581624,25.144531112395406,0
Bhutan,1736.700433722724,-629.9333021709353,6
Bolivia,378.5846881523705,-213.12571835146022,1
Bosnia and Herzegovina,-325.723769486262,-141.12296253273317,7
Botswana,1152.2593553875279,454.37770381674403,5
Brazil,-379.37653841132993,-55.86890759850213,7
British Virgin Islands,-662.3064681916867,10.858797121383923,0
Brunei Darussalam,-400.8540499893536,-12.690313198654758,7
Bulgaria,-526.2041490288269,14.248932821109534,7
Burkina Faso,566.4906092567995,380.1043121276017,9
Burundi,1159.99450894607,606.2571395404693,5
Cambodia,2548.401322783071,-315.42005016396433,6
Cameroon,141.0124292802402,66.40968861205644,2
Canada,-730.7782984286418,26.338498659410977,0
Cape Verde,828.0307084812421,-169.62928151703608,3
Cayman Islands,-722.0847885553922,24.15690375745341,0
Central African Republic,1032.7710753957392,311.90676575367496,5
Chad,974.9003190040253,431.1543306419832,5
Chile,-646.1573780815855,-8.843361398174064,0
China,390.79491249187953,-141.00985969663498,1
Colombia,-475.34541218202264,-23.230928953549284,7
Comoros,-208.95402207562933,-97.59704273061443,2
"Congo, Rep.",840.224256656384,411.7890307512276,9
Cook Islands,-667.9746077228041,10.089119575130255,0
Costa Rica,-670.4132527723181,4.3049290875491195,0
Croatia,-367.46089009046455,-69.82341151172474,7
Cuba,-683.1123060185437,0.3002428379146877,0
Cyprus,-714.076237367687,19.581792722090675,0
Czech Republic,-680.9412503345212,11.291974781606779,0
Cote d'Ivoire,1114.5951319489645,538.1282025876263,5
"Korea, Dem. Rep.",2156.298173952114,-519.3055895405141,6
"Congo, Dem. Rep.",1455.483733520943,658.6468669708946,5
Denmark,-716.8962595229478,23.331402788754254,0
Djibouti,729.2888364348047,594.0079395210994,9
Dominica,-664.0447992095773,22.72944334698253,0
